id,name,city,address,postcode,capacity,approved,created_at
"59","1990","Glasgow","427 Sauchiehall st","G2 3LG","180","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"46","ARTA","Glasgow","62 Albion st","G1 1PA","250","true","Fri Dec 19 2025 07:41:41 GMT+0000 (Greenwich Mean Time)"
"90","Aberdeen Beach Ballroom","Aberdeen","Beach Promenade","AB24 5NR","1500","true","Fri Dec 19 2025 07:41:49 GMT+0000 (Greenwich Mean Time)"
"80","Aberdeen Music Hall","Aberdeen","Union Street","AB10 1QS","1300","true","Fri Dec 19 2025 07:41:48 GMT+0000 (Greenwich Mean Time)"
"201","Airdrie Town Hall","Airdrie","null","null","null","false","Fri Jan 02 2026 22:34:40 GMT+0000 (Greenwich Mean Time)"
"45","Alloa Town Hall","Alloa","Marshill","FK10 1AB","500","true","Fri Dec 19 2025 07:40:52 GMT+0000 (Greenwich Mean Time)"
"109","An Seomar","Inverness","11-19 Church street","IV1 1DZ","400","true","Fri Dec 19 2025 07:41:53 GMT+0000 (Greenwich Mean Time)"
"114","Arcadia Music Cafe","Biggar","High Street","ML12 6DL","100","true","Fri Dec 19 2025 15:38:26 GMT+0000 (Greenwich Mean Time)"
"49","Audio Glasgow","Glasgow","14 Midland street","G1 4PP","200","true","Fri Dec 19 2025 07:41:41 GMT+0000 (Greenwich Mean Time)"
"28","BArty's","Kirkcaldy","null","null","60","true","Thu Dec 18 2025 23:41:20 GMT+0000 (Greenwich Mean Time)"
"38","Backstage At The Green Hotel","Kinross","2 muirs","KY13 8AS","120","true","Thu Dec 18 2025 23:41:21 GMT+0000 (Greenwich Mean Time)"
"161","Bannerman's Bar","Edinburgh","null","null","null","false","Fri Jan 02 2026 22:34:30 GMT+0000 (Greenwich Mean Time)"
"10","Bannermans Edinburgh","Edinburgh","212 Cowgate","EH1 1NQ","200","true","Thu Dec 18 2025 23:41:17 GMT+0000 (Greenwich Mean Time)"
"31","Banshee's Labyrinth","Edinburgh","29-35 Niddry Street","EH1 1LG","80","true","Thu Dec 18 2025 23:41:20 GMT+0000 (Greenwich Mean Time)"
"54","Barras Art And Design (BAaD)","Glasgow","23-27 Calton Entry","G40 2SB","500","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"67","Barrowland Ballroom","Glasgow","244 Gallowgate","G4 0TT","1900","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"100","Beat Generator","Dundee","70 North Lindsay Street","DD1 1PS","400","true","Fri Dec 19 2025 07:41:51 GMT+0000 (Greenwich Mean Time)"
"194","Beat Generator Dundee","Dundee","null","null","null","false","Fri Jan 02 2026 22:34:37 GMT+0000 (Greenwich Mean Time)"
"193","Beat Generator Live","Dundee","null","null","null","false","Fri Jan 02 2026 22:34:37 GMT+0000 (Greenwich Mean Time)"
"71","Blackfriars Of Bell Street","Glasgow","36 Bell Street","G1 1LG","200","true","Fri Dec 19 2025 07:41:43 GMT+0000 (Greenwich Mean Time)"
"53","Bluedog","Glasgow","17 Midland Street","G1 4PR","150","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"35","CISWO, Glenrothes","Glenrothes","Woodside Way","KY7 4ND","300","true","Thu Dec 18 2025 23:41:21 GMT+0000 (Greenwich Mean Time)"
"190","Cafe Drummonds","Aberdeen","null","null","null","false","Fri Jan 02 2026 22:34:36 GMT+0000 (Greenwich Mean Time)"
"103","Canvas, Dundee","Dundee","1-5 Ward Road","DD1 1LU","200","true","Fri Dec 19 2025 07:41:51 GMT+0000 (Greenwich Mean Time)"
"187","Charlie's Loft","Glasgow","null","null","null","false","Fri Jan 02 2026 22:34:35 GMT+0000 (Greenwich Mean Time)"
"199","Charlies Loft ","Milngavie","null","null","null","false","Fri Jan 02 2026 22:34:39 GMT+0000 (Greenwich Mean Time)"
"81","Cheerz Bar","Aberdeen","14 Belmont Street","AB10 1JR","150","true","Fri Dec 19 2025 07:41:48 GMT+0000 (Greenwich Mean Time)"
"92","Church Dundee","Dundee","2 Ward Road","DD1 1LU","500","true","Fri Dec 19 2025 07:41:51 GMT+0000 (Greenwich Mean Time)"
"112","Church Of The Holy Rude Stirling","Stirling","St John Street","FK8 1ED","500","true","Fri Dec 19 2025 07:41:59 GMT+0000 (Greenwich Mean Time)"
"196","Crail Community Hall","Crail","null","null","null","false","Fri Jan 02 2026 22:34:38 GMT+0000 (Greenwich Mean Time)"
"58","Crossford Village Hall South Lanarkshire","Crossford","Main Street","ML8 5QX","150","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"105","Cupar Corn Exchange","Cupar","Bonnygate","KY15 4BU","300","true","Fri Dec 19 2025 07:41:51 GMT+0000 (Greenwich Mean Time)"
"22","Dalkeith Miners Club","Dalkeith","11 Woodburn Road","EH22 2AR","200","true","Thu Dec 18 2025 23:41:19 GMT+0000 (Greenwich Mean Time)"
"50","Destiny Church","Glasgow","1 Paisley Road West","G51 1LE","500","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"86","Drummonds, Aberdeen","Aberdeen","1 Belmont Street","AB10 1JR","200","true","Fri Dec 19 2025 07:41:48 GMT+0000 (Greenwich Mean Time)"
